"","X","Name","High.Degree","Longitude","Latitude","Applicants","Admissions","Enrolled","SAT.Reading.25","SAT.Reading.75","SAT.Math.25","SAT.Math.75","ACT.25","ACT.75","Percent.Admitted","Tuition","Tuition.Instate","Tuition.Outstate","State","Region","Control","TEnrollment","Percent.Women","Pecent.Instate","Percent.Outstate","Percent.Foreign","GradRate.4yr","Percent.Finan.Aid"
"1",1,"Alabama A & M University","Doctor's degree",-86.568502,34.783368,6142,5521,1104,370,450,350,450,15,19,90,7182,21849,27441,"Alabama","Southeast","Public",4051,51,NA,NA,NA,10,97
"2",2,"University of Alabama at Birmingham","Doctor's degree",-86.80917,33.50223,5689,4934,1773,520,640,520,650,22,28,87,7206,22495,31687,"Alabama","Southeast","Public",11502,58,86,13,1,29,90
"3",3,"Amridge University","Doctor's degree",-86.17401,32.362609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6870,NA,NA,"Alabama","Southeast","Private not-for-profit",322,61,NA,NA,NA,0,100
"4",4,"University of Alabama in Huntsville","Doctor's degree",-86.63842,34.722818,2054,1656,651,510,640,510,650,23,29,81,9192,23466,35780,"Alabama","Southeast","Public",5696,44,79,14,4,16,87
"5",5,"Alabama State University","Doctor's degree",-86.295677,32.364317,10245,5251,1479,380,480,370,480,15,19,51,8720,18286,25222,"Alabama","Southeast","Public",5356,59,58,37,4,9,93
"6",6,"The University of Alabama","Doctor's degree",-87.545766,33.2144,30975,17515,6454,490,620,500,640,22,30,57,9450,27000,41500,"Alabama","Southeast","Public",29440,54,40,57,3,43,75
"7",7,"Athens State University","Bachelor's degree",-86.96514,34.805625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama","Southeast","Public",3170,65,NA,NA,NA,NA,NA
"8",8,"Auburn University at Montgomery","Doctor's degree",-86.177351,32.369939,1958,1639,579,NA,NA,NA,NA,18,23,84,8750,17820,34020,"Alabama","Southeast","Public",4322,62,95,2,0,10,90
"9",9,"Auburn University","Doctor's degree",-85.492409,32.600201,15745,13027,3726,520,620,540,650,24,30,83,9852,25282,41794,"Alabama","Southeast","Public",19799,49,63,37,1,38,76
"10",10,"Birmingham Southern College","Bachelor's degree",-86.853636,33.515453,1931,1240,356,520,630,520,640,23,29,64,30690,45470,45470,"Alabama","Southeast","Private not-for-profit",1188,46,NA,NA,NA,53,98
"11",11,"Concordia College Alabama","Bachelor's degree",-87.023531,32.42443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8090,18330,18330,"Alabama","Southeast","Private not-for-profit",600,42,48,49,0,10,100
"12",12,"Faulkner University","Doctor's degree",-86.21641,32.384181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18230,31010,31010,"Alabama","Southeast","Private not-for-profit",2617,63,67,30,3,11,99
"13",13,"Huntingdon College","Bachelor's degree",-86.285313,32.350939,1470,923,261,420,500,420,540,19,24,63,23500,33885,33885,"Alabama","Southeast","Private not-for-profit",1110,50,72,27,0,30,100
"14",14,"Jacksonville State University","Doctor's degree",-85.766644,33.822128,3083,2567,1158,430,540,420,540,19,26,83,7092,21237,28029,"Alabama","Southeast","Public",7588,58,76,24,1,10,93
"15",15,"Judson College","Bachelor's degree",-87.316127,32.630526,268,198,68,550,640,500,600,19,24,74,15630,28840,28840,"Alabama","Southeast","Private not-for-profit",347,95,88,12,0,38,100
"16",16,"University of West Alabama","Master's degree",-88.186077,32.59244,462,460,380,NA,NA,NA,NA,18,22,100,7660,18162,24672,"Alabama","Southeast","Public",1999,57,NA,NA,NA,18,95
"17",17,"Miles College","Bachelor's degree",-86.908605,33.481306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11454,22318,22318,"Alabama","Southeast","Private not-for-profit",1666,48,NA,NA,NA,6,99
"18",18,"University of Mobile","Master's degree",-88.128934,30.793247,866,617,259,470,610,470,680,20,25,71,18690,32570,32570,"Alabama","Southeast","Private not-for-profit",1481,67,NA,NA,NA,33,93
"19",19,"University of Montevallo","Master's degree",-86.865099,33.10625,1385,1209,531,495,613,465,550,20,26,87,10000,23340,33030,"Alabama","Southeast","Public",2618,66,94,5,0,24,88
"20",20,"University of North Alabama","Master's degree",-87.680999,34.80658,2542,2057,970,413,565,433,530,19,25,81,7078,16933,22525,"Alabama","Southeast","Public",5881,57,85,14,0,12,82
"21",21,"Oakwood University","Master's degree",-86.661628,34.756628,2728,937,409,410,513,400,510,17,22,34,16234,36295,36295,"Alabama","Southeast","Private not-for-profit",1861,57,NA,NA,NA,19,94
"22",22,"Samford University","Doctor's degree",-86.790932,33.464578,3447,2653,765,500,630,510,610,23,28,77,26328,40900,40900,"Alabama","Southeast","Private not-for-profit",3013,65,NA,NA,NA,49,98
"23",23,"University of South Alabama","Doctor's degree",-88.18189,30.695081,4814,4142,1878,440,550,435,565,20,26,86,6948,19980,26628,"Alabama","Southeast","Public",11307,57,79,20,1,14,91
"24",24,"Spring Hill College","Master's degree",-88.138199,30.694751,6596,3052,431,480,600,480,600,21,27,46,30924,46170,46170,"Alabama","Southeast","Private not-for-profit",1292,60,NA,NA,NA,47,100
"25",25,"Stillman College","Bachelor's degree",-87.585242,33.199228,4121,1772,257,350,450,383,438,17,20,43,15901,26877,26877,"Alabama","Southeast","Private not-for-profit",863,49,NA,NA,NA,17,100
